ANP;DESCRICAO
610101002;NEUTRO LEVE
610401002;NEUTRO LEVE RR
610101003;NEUTRO MEDIO
610401003;NEUTRO MEDIO RR
610101004;NEUTRO PESADO
610401004;NEUTRO PESADO RR
110203041;NIGERIANO BRASS LIGHT
110203042;NIGERIANO LEVE
110203043;NIGERIANO LEVE QUA IBOE
110203094;NILE BLEND
110203044;NKOSSA
110203044;NKOSSA
430101001;NORMAL PARAFINAS
110206021;NORNE BLEND
120204004;NORTH FIELD
110207007;NORTH WEST SHELF
110203045;ODUDU
110201043;OFICINA
110203046;OGUENDJO
110203047;OKAN
110203048;OKONO
110203081;OKWORI
430101004;OLEO COMB. P/ TURBINA GERADORA DE ENERGIA ELETRICA
510101003;OLEO COMBUSTIVEL A FORA DE ESPECIFICACAO
510101001;OLEO COMBUSTIVEL A1
510101002;OLEO COMBUSTIVEL A2
510102003;OLEO COMBUSTIVEL B FORA DE ESPECIFICACAO
510102001;OLEO COMBUSTIVEL B1
510102002;OLEO COMBUSTIVEL B2
510201001;OLEO COMBUSTIVEL MARITIMO
510201002;OLEO COMBUSTIVEL MARITIMO FORA DE ESPECIFICACAO
510201003;OLEO COMBUSTIVEL MARITIMO MISTURA (MF)
510301003;OLEO COMBUSTIVEL PARA GERACAO ELETRICA
140101015;OLEO DE ABACATE (PERSIA AMERICANA)
140101009;OLEO DE ALGODAO (GOSSYPIUM HIRSUT)
140101016;OLEO DE AMENDOIM (ORACHIS HYPOGEAE)
140101017;OLEO DE ANDIROBA (CARAPA GUIANERSIS)
140101005;OLEO DE BABACU (ORBINYA MARTIANA)
140101014;OLEO DE BURITI
140101018;OLEO DE COCO (COCUS NUMIFERA)
140101006;OLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS)
140101028;OLEO DE CRAMBE
140101021;OLEO DE FRITURA USADO
140101010;OLEO DE GIRASSOL (HELLANTHUS ANNUS)
140101012;OLEO DE LINHACA
140101013;OLEO DE MACAUBA
140101001;OLEO DE MAMONA (RICINUS COMMUNIS)
140101011;OLEO DE NABO-FORRAGEIRO
140101003;OLEO DE PALMA/DENDE (ELAEIS GUINEENSIS OU ELAEIS O
140101002;OLEO DE PALMISTE
140101008;OLEO DE PEQUI (JATROPHA CURCAS)
140101007;OLEO DE PINHAO-MANSO
140101019;OLEO DE SESAMO (SESAMUN INDICUM)
140101004;OLEO DE SOJA (GLYCINE MAX)
560101001;OLEO DE XISTO
420105001;OLEO DIESEL A S10
420101005;OLEO DIESEL A S1800 - ADITIVADO
420101004;OLEO DIESEL A S1800 - COMUM
420101003;OLEO DIESEL A S1800 - FORA DE ESPECIFICACAO
420102006;OLEO DIESEL A S50
420102005;OLEO DIESEL A S500 - ADITIVADO
420102004;OLEO DIESEL A S500 - COMUM
420102003;OLEO DIESEL A S500 - FORA DE ESPECIFICACAO
420104001;OLEO DIESEL AUTOMOTIVO ESPECIAL - ENXOFRE 200 PPM
820101033;OLEO DIESEL B S10 - ADITIVADO
820101034;OLEO DIESEL B S10 - COMUM
820101011;OLEO DIESEL B S1800 - ADITIVADO
820101003;OLEO DIESEL B S1800 - COMUM
820101028;OLEO DIESEL B S50 - ADITIVADO
820101029;OLEO DIESEL B S50 - COMUM
820101013;OLEO DIESEL B S500 - ADITIVADO
820101012;OLEO DIESEL B S500 - COMUM
420301003;OLEO DIESEL FORA DE ESPECIFICACAO
420101005;OLEO DIESEL INTERIOR ADITIVADO - ENXOFRE 1800 PPM
420101002;OLEO DIESEL INTERIOR (B) ADITIVADO
420101001;OLEO DIESEL INTERIOR (B) COMUM
420101003;OLEO DIESEL INTERIOR (B) FORA DE ESPECIFICACAO
420101004;OLEO DIESEL INTERIOR COMUM - ENXOFRE 1800 PPM
420101003;OLEO DIESEL INTERIOR FORA DE ESPECIFICACAO
420201001;OLEO DIESEL MARITIMO
420201002;OLEO DIESEL MARITIMO FORA DE ESPECIFICACAO
420102005;OLEO DIESEL METROPOLITANO ADITIVADO - ENXOFRE 500 PPM
420102004;OLEO DIESEL METROPOLITANO COMUM - ENXOFRE 500 PPM
420102002;OLEO DIESEL METROPOLITANO (D) ADITIVADO
420102001;OLEO DIESEL METROPOLITANO (D) COMUM
420102003;OLEO DIESEL METROPOLITANO (D) FORA DE ESPECIFICACAO
420102003;OLEO DIESEL METROPOLITANO FORA DE ESPECIFICACAO
420202001;OLEO DIESEL NAUTICO ESPECIAL - ENXOFRE 200 PPM
420301001;OLEO DIESEL PADRAO
420102006;OLEO DIESEL S50
420103002;OLEO DIESEL S500 ADITIVADO
420103001;OLEO DIESEL S500 COMUM
420103003;OLEO DIESEL S500 FORA DE ESPECIFICACAO
610601001;OLEOS BASICOS - GRUPO II
610701001;OLEOS BASICOS - GRUPO III
510301002;OLEOS COMBUSTIVEIS PARA EXPORTACAO
620601001;OLEOS EXTENSORES E PLASTIFICANTES
660101001;OLEOS LUB. PARAF E GRAXAS INTERMEDIARIOS
620401001;OLEOS LUBRIFICANTES FERROVIARIOS
620301001;OLEOS LUBRIFICANTES MARITIMOS
620201001;OLEOS LUBRIFICANTES PARA AVIACAO
630101001;OLEOS LUBRIFICANTES USADOS OU CONTAMINADOS
110202006;OLMECA
110203093;OLOWI
110204035;OMAN
110203049;ORIBI
110201044;ORIENTE
110201045;ORITO
110206012;OSEBERG
120203003;OSO
320301001;OUTRAS GASOLINAS
320103002;OUTRAS GASOLINAS AUTOMOTIVAS
650101002;OUTRAS GRAXAS
310102002;OUTRAS NAFTAS
640401001;OUTRAS PARAFINAS
140101029;OUTROS ACIDOS GRAXOS
740101003;OUTROS ADITIVOS
810201002;OUTROS ALCOOIS
530103001;OUTROS ASFALTOS
340101003;OUTROS DERIVADOS LEVES
430101003;OUTROS DERIVADOS MEDIOS
560101003;OUTROS DERIVADOS PESADOS
210302001;OUTROS GASES
210204002;OUTROS GASES LIQUEFEITOS
130201001;OUTROS INSUMOS BRUTOS
530104001;OUTROS INSUMOS PARA ASFALTOS
140101022;OUTROS MATERIAIS GRAXOS
140101999;OUTROS MATERIAIS GRAXOS
610201004;OUTROS NAFTENICOS
510301001;OUTROS OLEOS COMBUSTIVEIS
420301002;OUTROS OLEOS DIESEL
620601004;OUTROS OLEOS LUBRIFICANTES ACABADOS
620505001;OUTROS OLEOS LUBRIFICANTES AUTOMOTIVOS
610501001;OUTROS OLEOS LUBRIFICANTES BASICOS
620101008;OUTROS OLEOS LUBRIFICANTES INDUSTRIAIS
610101010;OUTROS PARAFINICOS
110208002;OUTROS PETROLEOS IMPORTADOS
110110002;OUTROS PETROLEOS NACIONAIS
130202008;OUTROS PRODUTOS PARA REPROCESSAMENTO
410103001;OUTROS QUEROSENES
610301002;OUTROS SINTETICOS
610302001;OUTROS SINTETICOS
330101007;OUTROS SOLVENTES ALIFATICOS
330201009;OUTROS SOLVENTES AROMATICOS
730101001;OUTROS SUB-PRODUTOS
110203050;PALANCA
110101028;PAMPO
110101049;PAPATERRA
110101029;PARATI
110101030;PARGO
110104007;PARQUE DAS CONCHAS
110111001;PAU LAVADO
120205006;PEMBINA
110203051;PENNINGTON
110101050;PEREGRINO
110105028;PERIQUITO
110105016;PESCADA/ARABAIANA
110201046;PILON
110106007;PIRANEMA
110101031;PIRAUNA
110203082;PLUTONIO
610301001;POLIALFAOLEFINA
110101032;POLO NORDESTE
110101047;POLVO
110105021;POTI
110105010;POTIGUAR TERRA
620101003;PROCESSO
210201001;PROPANO
210201002;PROPANO ESPECIAL
210201003;PROPENO
110105020;PTX
110105022;PTX-11
110205012;PULAI
620601002;PULVERIZACAO AGRICOLA
120206003;PUROVSKY
110204036;QATAR DUKHAN
110204037;QATAR LAND
110204038;QATAR MARINE
410101001;QUEROSENE DE AVIACAO
410101002;QUEROSENE DE AVIACAO FORA DE ESPECIFICACAO
410102001;QUEROSENE ILUMINANTE
410102002;QUEROSENE ILUMINANTE FORA DE ESPECIFICACAO
110103014;QUIAMBINA
110203052;RABI
330101005;RAFINADO DE PIROLISE
330101006;RAFINADO DE REFORMA
110205029;RANG DONG
110203053;RAS BUDRAN
120204008;RAS GAS
110203054;RAS GHARIB
110204039;RATAWI
110201047;RECON BOLIVIANO
110201048;RECON MEREY
110103011;RECONCAVO
340101001;REFORMADOS
550101001;RESIDUO AROMATICO (RARO)
